Word presentation timestamps:
Fixation onset timestamp: 2023-03-31 09:44:17.378510
2023-03-31 09:44:22.405652 Administrators
2023-03-31 09:44:23.923165 of
2023-03-31 09:44:25.453672 the
2023-03-31 09:44:26.986703 ACT
2023-03-31 09:44:28.520288 test
2023-03-31 09:44:30.053501 took
2023-03-31 09:44:31.586854 the
2023-03-31 09:44:33.120282 decision
2023-03-31 09:44:34.653650 just
2023-03-31 09:44:36.186790 hours
2023-03-31 09:44:37.720634 before
2023-03-31 09:44:39.273097 some
2023-03-31 09:44:40.788863 5500
2023-03-31 09:44:42.304907 students
2023-03-31 09:44:43.821702 were
2023-03-31 09:44:45.339351 due
2023-03-31 09:44:46.855309 to
2023-03-31 09:44:48.374183 sit
2023-03-31 09:44:49.941048 it.
2023-03-31 09:44:51.490385 The
2023-03-31 09:44:53.019715 ACT
2023-03-31 09:44:54.553184 is
2023-03-31 09:44:56.086604 one
2023-03-31 09:44:57.619977 of
2023-03-31 09:44:59.153192 two
2023-03-31 09:45:00.686818 entrance
2023-03-31 09:45:02.239283 exams
2023-03-31 09:45:03.771775 available
2023-03-31 09:45:05.289628 to
2023-03-31 09:45:06.805386 international
2023-03-31 09:45:08.321088 and
2023-03-31 09:45:09.840437 domestic
2023-03-31 09:45:11.354719 students
2023-03-31 09:45:12.872138 wanting
2023-03-31 09:45:14.388198 to
2023-03-31 09:45:15.955311 go
2023-03-31 09:45:17.486268 to
2023-03-31 09:45:19.019506 a
2023-03-31 09:45:20.552813 US
2023-03-31 09:45:22.086103 college.
2023-03-31 09:45:23.619518 This
2023-03-31 09:45:25.152668 is
2023-03-31 09:45:26.686408 not
2023-03-31 09:45:28.220269 the
2023-03-31 09:45:29.774034 first
2023-03-31 09:45:31.288986 cheating
2023-03-31 09:45:32.804484 scandal
2023-03-31 09:45:34.321663 to
2023-03-31 09:45:35.837542 hit
2023-03-31 09:45:37.354484 the
2023-03-31 09:45:38.871721 tests
2023-03-31 09:45:40.439782 in
2023-03-31 09:45:41.969144 East
2023-03-31 09:45:43.502849 Asia.
2023-03-31 09:45:45.035786 The
2023-03-31 09:45:46.569070 other
2023-03-31 09:45:48.102392 entrance
2023-03-31 09:45:49.635878 exam
2023-03-31 09:45:51.169588 "the
2023-03-31 09:45:52.702829 SAT"
2023-03-31 09:45:54.235484 was
2023-03-31 09:45:55.772515 cancelled
2023-03-31 09:45:57.287068 in
2023-03-31 09:45:58.803952 South
2023-03-31 09:46:00.321564 Korea
2023-03-31 09:46:01.837390 in
2023-03-31 09:46:03.354947 2013
2023-03-31 09:46:04.871345 because
2023-03-31 09:46:06.387195 some
2023-03-31 09:46:07.956623 of
2023-03-31 09:46:09.505561 the
2023-03-31 09:46:11.055282 questions
2023-03-31 09:46:12.585522 were
2023-03-31 09:46:14.118576 leaked.
2023-03-31 09:46:15.652064 The
2023-03-31 09:46:17.185271 ACT
2023-03-31 09:46:18.719101 test
2023-03-31 09:46:20.252628 was
2023-03-31 09:46:21.771119 due
2023-03-31 09:46:23.286847 to
2023-03-31 09:46:24.805966 be
2023-03-31 09:46:26.321153 held
2023-03-31 09:46:27.836972 at
2023-03-31 09:46:29.355053 56
2023-03-31 09:46:30.871251 test
2023-03-31 09:46:32.439480 centres
2023-03-31 09:46:33.989769 in
2023-03-31 09:46:35.518430 both
2023-03-31 09:46:37.051664 South
2023-03-31 09:46:38.585003 Korea
2023-03-31 09:46:40.118362 and
2023-03-31 09:46:41.652197 Hong
2023-03-31 09:46:43.184965 Kong
2023-03-31 09:46:44.719095 on
2023-03-31 09:46:46.252128 Saturday
2023-03-31 09:46:47.788633 morning.
2023-03-31 09:46:49.303036 The
2023-03-31 09:46:50.820625 Associated
2023-03-31 09:46:52.337918 Press
2023-03-31 09:46:53.853039 said
2023-03-31 09:46:55.370517 teachers
2023-03-31 09:46:56.886185 at
2023-03-31 09:46:58.454373 some
2023-03-31 09:46:59.984988 of
2023-03-31 09:47:01.518166 Seoul's
2023-03-31 09:47:03.051722 private
2023-03-31 09:47:04.584838 "cram
2023-03-31 09:47:06.118130 schools"
2023-03-31 09:47:07.651288 said
2023-03-31 09:47:09.184684 they
2023-03-31 09:47:10.718256 were
2023-03-31 09:47:12.252023 not
2023-03-31 09:47:13.787389 notified
2023-03-31 09:47:15.304442 until
2023-03-31 09:47:16.819847 about
2023-03-31 09:47:18.337480 an
2023-03-31 09:47:19.853857 hour
2023-03-31 09:47:21.369343 before
2023-03-31 09:47:22.885633 the
2023-03-31 09:47:24.454883 students
2023-03-31 09:47:25.984215 were
2023-03-31 09:47:27.517652 due
2023-03-31 09:47:29.050929 to
2023-03-31 09:47:30.584442 sit
2023-03-31 09:47:32.117481 the
2023-03-31 09:47:33.650876 test.
2023-03-31 09:47:35.183923 ACT
2023-03-31 09:47:36.717529 Inc,
