Word presentation timestamps:
Fixation onset timestamp: 2023-03-31 10:31:48.931026
2023-03-31 10:31:53.963881 The
2023-03-31 10:31:55.532637 first
2023-03-31 10:31:57.079301 incident
2023-03-31 10:31:58.612693 saw
2023-03-31 10:32:00.131338 a
2023-03-31 10:32:01.681620 71-year-old
2023-03-31 10:32:03.212168 woman
2023-03-31 10:32:04.745720 from
2023-03-31 10:32:06.279147 Sandyhills
2023-03-31 10:32:07.812514 tricked
2023-03-31 10:32:09.345183 by
2023-03-31 10:32:10.878878 someone
2023-03-31 10:32:12.411395 claiming
2023-03-31 10:32:13.947007 to
2023-03-31 10:32:15.463271 work
2023-03-31 10:32:16.979689 for
2023-03-31 10:32:18.496984 BT.
2023-03-31 10:32:20.014474 Now
2023-03-31 10:32:21.530633 a
2023-03-31 10:32:23.047426 woman
2023-03-31 10:32:24.615667 in
2023-03-31 10:32:26.164506 Stranraer
2023-03-31 10:32:27.695126 has
2023-03-31 10:32:29.228026 lost
2023-03-31 10:32:30.762094 money
2023-03-31 10:32:32.295005 to
2023-03-31 10:32:33.828366 a
2023-03-31 10:32:35.361783 caller
2023-03-31 10:32:36.895273 who
2023-03-31 10:32:38.428312 said
2023-03-31 10:32:39.947639 he
2023-03-31 10:32:41.462949 was
2023-03-31 10:32:42.980224 contacting
2023-03-31 10:32:44.495947 her
2023-03-31 10:32:46.014114 about
2023-03-31 10:32:47.530967 problems
2023-03-31 10:32:49.046441 with
2023-03-31 10:32:50.565292 her
2023-03-31 10:32:52.079619 internet.
2023-03-31 10:32:53.648469 He
2023-03-31 10:32:55.178071 claimed
2023-03-31 10:32:56.729481 to
2023-03-31 10:32:58.261762 be
2023-03-31 10:32:59.794779 from
2023-03-31 10:33:01.327751 BT
2023-03-31 10:33:02.861807 technical
2023-03-31 10:33:04.395390 support
2023-03-31 10:33:05.948056 and
2023-03-31 10:33:07.462441 gained
2023-03-31 10:33:08.979659 remote
2023-03-31 10:33:10.496184 access
2023-03-31 10:33:12.011671 to
2023-03-31 10:33:13.529361 her
2023-03-31 10:33:15.046358 computer
2023-03-31 10:33:16.562016 to
