Word presentation timestamps:
Fixation onset timestamp: 2023-03-31 10:25:35.045561
2023-03-31 10:25:40.117943 The
2023-03-31 10:25:41.651410 Cherries
2023-03-31 10:25:43.204328 went
2023-03-31 10:25:44.720179 down
2023-03-31 10:25:46.235621 2-1
2023-03-31 10:25:47.751853 at
2023-03-31 10:25:49.270917 Sunderland
2023-03-31 10:25:50.785526 on
2023-03-31 10:25:52.303256 Saturday,
2023-03-31 10:25:53.819263 becoming
2023-03-31 10:25:55.367762 the
2023-03-31 10:25:56.917432 first
2023-03-31 10:25:58.450761 team
2023-03-31 10:25:59.983802 to
2023-03-31 10:26:01.517332 lose
2023-03-31 10:26:03.050661 to
2023-03-31 10:26:04.583969 the
2023-03-31 10:26:06.117499 Black
2023-03-31 10:26:07.650522 Cats
2023-03-31 10:26:09.183960 in
2023-03-31 10:26:10.717479 the
2023-03-31 10:26:12.253876 Premier
2023-03-31 10:26:13.768510 League
2023-03-31 10:26:15.287675 this
2023-03-31 10:26:16.802321 season.
2023-03-31 10:26:18.318387 Dan
2023-03-31 10:26:19.836734 Gosling's
2023-03-31 10:26:21.351910 goal,
2023-03-31 10:26:22.868240 which
2023-03-31 10:26:24.438118 gave
2023-03-31 10:26:25.987623 them
2023-03-31 10:26:27.516906 the
2023-03-31 10:26:29.050387 lead,
2023-03-31 10:26:30.583581 was
2023-03-31 10:26:32.116843 their
2023-03-31 10:26:33.650209 first
2023-03-31 10:26:35.183687 for
2023-03-31 10:26:36.717327 three
2023-03-31 10:26:38.250515 games.
2023-03-31 10:26:39.770791 "It
2023-03-31 10:26:41.285572 shouldn't
2023-03-31 10:26:42.801282 be
2023-03-31 10:26:44.320326 down
2023-03-31 10:26:45.834917 to
2023-03-31 10:26:47.354040 a
2023-03-31 10:26:48.867977 lack
2023-03-31 10:26:50.437106 of
2023-03-31 10:26:51.966697 confidence,
2023-03-31 10:26:53.500494 "
2023-03-31 10:26:55.033315 Howe
2023-03-31 10:26:56.566551 told
2023-03-31 10:26:58.099995 BBC
2023-03-31 10:26:59.633618 Radio
2023-03-31 10:27:01.166947 Solent.
2023-03-31 10:27:02.699973 "We
2023-03-31 10:27:04.234154 scored
2023-03-31 10:27:05.769972 six
2023-03-31 10:27:07.284172 goals
2023-03-31 10:27:08.800105 against
2023-03-31 10:27:10.318663 Hull
2023-03-31 10:27:11.835788 prior
2023-03-31 10:27:13.351613 to
2023-03-31 10:27:14.867604 these
2023-03-31 10:27:16.384009 two
2023-03-31 10:27:17.953287 games.
2023-03-31 10:27:19.482937 "He
2023-03-31 10:27:21.016355 continued:
2023-03-31 10:27:22.550277 "A
2023-03-31 10:27:24.083115 couple
2023-03-31 10:27:25.616213 of
2023-03-31 10:27:27.149602 weeks
2023-03-31 10:27:28.682908 later,
2023-03-31 10:27:30.215927 if
2023-03-31 10:27:31.749544 you
2023-03-31 10:27:33.269824 were
2023-03-31 10:27:34.783601 to
2023-03-31 10:27:36.301193 put
2023-03-31 10:27:37.817786 the
2023-03-31 10:27:39.335221 chances
2023-03-31 10:27:40.851516 we've
2023-03-31 10:27:42.367515 created
2023-03-31 10:27:43.936290 together
2023-03-31 10:27:45.486158 into
2023-03-31 10:27:47.016023 a
2023-03-31 10:27:48.549287 clip
2023-03-31 10:27:50.082795 sequence,
2023-03-31 10:27:51.615677 the
2023-03-31 10:27:53.148999 fact
2023-03-31 10:27:54.682303 that
2023-03-31 10:27:56.215736 we
2023-03-31 10:27:57.748471 haven't
2023-03-31 10:27:59.284645 even
2023-03-31 10:28:00.800366 scored
2023-03-31 10:28:02.319767 one
2023-03-31 10:28:03.834542 goal
2023-03-31 10:28:05.351319 is
2023-03-31 10:28:06.867254 difficult
2023-03-31 10:28:08.435097 to
2023-03-31 10:28:09.984715 take.
2023-03-31 10:28:11.515817 "Bournemouth
2023-03-31 10:28:13.048649 were
2023-03-31 10:28:14.582112 stunned
2023-03-31 10:28:16.115641 by
2023-03-31 10:28:17.648261 goals
2023-03-31 10:28:19.182492 for
2023-03-31 10:28:20.714831 Sunderland
2023-03-31 10:28:22.248729 from
2023-03-31 10:28:23.768815 Victor
2023-03-31 10:28:25.283834 Anichebe
2023-03-31 10:28:26.800418 and
2023-03-31 10:28:28.317702 a
2023-03-31 10:28:29.834826 Jermain
2023-03-31 10:28:31.349559 Defoe
2023-03-31 10:28:32.869335 penalty
2023-03-31 10:28:34.434604 and
2023-03-31 10:28:35.984949 they
2023-03-31 10:28:37.514930 were
2023-03-31 10:28:39.048428 unable
2023-03-31 10:28:40.581912 to
2023-03-31 10:28:42.115021 find
2023-03-31 10:28:43.648788 an
2023-03-31 10:28:45.181424 equaliser,
2023-03-31 10:28:46.714512 even
2023-03-31 10:28:48.249053 against
2023-03-31 10:28:49.766231 10
2023-03-31 10:28:51.282422 men
2023-03-31 10:28:52.799587 following
2023-03-31 10:28:54.318511 Steven
2023-03-31 10:28:55.832963 Pienaar's
2023-03-31 10:28:57.349046 dismissal.
2023-03-31 10:28:58.866567 "We've
2023-03-31 10:29:00.383088 had
2023-03-31 10:29:01.951825 enough
2023-03-31 10:29:03.502289 chances
2023-03-31 10:29:05.052251 to
2023-03-31 10:29:06.581472 win
2023-03-31 10:29:08.114668 three
2023-03-31 10:29:09.647931 games
2023-03-31 10:29:11.181205 today,
2023-03-31 10:29:12.714759 "
2023-03-31 10:29:14.268183 Howe
2023-03-31 10:29:15.783540 added.
2023-03-31 10:29:17.298999 "Sometimes
2023-03-31 10:29:18.816092 football
2023-03-31 10:29:20.331935 pans
2023-03-31 10:29:21.852074 out
2023-03-31 10:29:23.367000 that
2023-03-31 10:29:24.882906 way
2023-03-31 10:29:26.399394 and
2023-03-31 10:29:27.916813 you
2023-03-31 10:29:29.432343 have
2023-03-31 10:29:31.000328 to
2023-03-31 10:29:32.531552 accept
2023-03-31 10:29:34.064712 it.
2023-03-31 10:29:35.597414 It's
2023-03-31 10:29:37.130959 how
2023-03-31 10:29:38.664226 you
2023-03-31 10:29:40.197593 move
2023-03-31 10:29:41.730980 on
2023-03-31 10:29:43.264263 from
2023-03-31 10:29:44.797656 that
2023-03-31 10:29:46.333963 which
2023-03-31 10:29:47.850195 is
2023-03-31 10:29:49.365255 key."
Question onset timestamp: 2023-03-31 10:29:59.031333
Response time timestamp: 2023-03-31 10:30:04.442899
Results: ['left', 'left', 'left']
