Word presentation timestamps:
Fixation onset timestamp: 2023-03-31 10:20:58.003657
2023-03-31 10:21:03.054888 It
2023-03-31 10:21:04.588329 issued
2023-03-31 10:21:06.142231 a
2023-03-31 10:21:07.656471 yellow
2023-03-31 10:21:09.173540 warning
2023-03-31 10:21:10.690011 of
2023-03-31 10:21:12.207439 wind,
2023-03-31 10:21:13.723097 saying
2023-03-31 10:21:15.239717 gusts
2023-03-31 10:21:16.756667 of
2023-03-31 10:21:18.324936 up
2023-03-31 10:21:19.855450 to
2023-03-31 10:21:21.407090 75mph
2023-03-31 10:21:22.954880 (120kmph)
2023-03-31 10:21:24.488100 could
2023-03-31 10:21:26.021359 occur
2023-03-31 10:21:27.554611 locally,
2023-03-31 10:21:29.089690 particularly
2023-03-31 10:21:30.621950 to
2023-03-31 10:21:32.139797 the
2023-03-31 10:21:33.656190 west
2023-03-31 10:21:35.172895 of
2023-03-31 10:21:36.689081 the
2023-03-31 10:21:38.206652 mountains.
2023-03-31 10:21:39.722604 It
2023-03-31 10:21:41.239478 added
2023-03-31 10:21:42.755897 the
2023-03-31 10:21:44.272721 unusual
2023-03-31 10:21:45.841593 easterly
2023-03-31 10:21:47.371560 direction
2023-03-31 10:21:48.904387 could
2023-03-31 10:21:50.437761 add
2023-03-31 10:21:51.970968 to
2023-03-31 10:21:53.504248 the
2023-03-31 10:21:55.037768 impact
2023-03-31 10:21:56.570949 of
2023-03-31 10:21:58.104355 the
2023-03-31 10:21:59.636986 winds.
2023-03-31 10:22:01.155620 Forecasters
2023-03-31 10:22:02.672139 said
2023-03-31 10:22:04.189023 disruption
2023-03-31 10:22:05.707453 to
2023-03-31 10:22:07.223200 travel
2023-03-31 10:22:08.740421 on
2023-03-31 10:22:10.255338 roads
2023-03-31 10:22:11.772385 and
2023-03-31 10:22:13.320248 at
2023-03-31 10:22:14.854182 sea
2023-03-31 10:22:16.387314 was
2023-03-31 10:22:17.920524 likely.
2023-03-31 10:22:19.454026 The
2023-03-31 10:22:20.987186 affected
2023-03-31 10:22:22.520498 counties
2023-03-31 10:22:24.053883 are
2023-03-31 10:22:25.587143 Conwy,
2023-03-31 10:22:27.121307 Anglesey,
2023-03-31 10:22:28.673580 Gwynedd,
2023-03-31 10:22:30.188498 Pembrokeshire,
2023-03-31 10:22:31.705796 Carmarthenshire,
2023-03-31 10:22:33.223076 Ceredigion
2023-03-31 10:22:34.739062 and
2023-03-31 10:22:36.256154 Powys.
2023-03-31 10:22:37.824117 Gusts
2023-03-31 10:22:39.373312 overnight
2023-03-31 10:22:40.922811 brought
2023-03-31 10:22:42.453569 a
2023-03-31 10:22:43.986431 tree
2023-03-31 10:22:45.520737 down
2023-03-31 10:22:47.053090 in
2023-03-31 10:22:48.586768 Menai
2023-03-31 10:22:50.120755 Bridge
2023-03-31 10:22:51.657533 on
2023-03-31 10:22:53.171826 Anglesey,
2023-03-31 10:22:54.687608 closing
2023-03-31 10:22:56.205940 one
2023-03-31 10:22:57.721416 of
2023-03-31 10:22:59.238460 the
2023-03-31 10:23:00.756381 main
2023-03-31 10:23:02.271144 routes
2023-03-31 10:23:03.839595 into
2023-03-31 10:23:05.369868 the
2023-03-31 10:23:06.903432 town.
2023-03-31 10:23:08.436679 The
2023-03-31 10:23:09.969849 council
2023-03-31 10:23:11.503151 said
2023-03-31 10:23:13.036380 Telford
2023-03-31 10:23:14.569869 Road
2023-03-31 10:23:16.103171 was
2023-03-31 10:23:17.636124 expected
2023-03-31 10:23:19.169970 to
2023-03-31 10:23:20.687251 remain
2023-03-31 10:23:22.206581 closed
2023-03-31 10:23:23.721063 for
2023-03-31 10:23:25.238700 most
2023-03-31 10:23:26.754152 of
2023-03-31 10:23:28.272221 Monday
2023-03-31 10:23:29.787688 to
2023-03-31 10:23:31.356530 allow
2023-03-31 10:23:32.886114 clean-up
2023-03-31 10:23:34.419455 work
2023-03-31 10:23:35.953342 to
2023-03-31 10:23:37.486138 be
2023-03-31 10:23:39.019278 carried
2023-03-31 10:23:40.552730 out.
Question onset timestamp: 2023-03-31 10:23:59.419263
Response time timestamp: 2023-03-31 10:24:07.655703
Results: ['left', 'left', 'right']
